Order_ID,Customer_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Order_Month,Order_Year,Ship_Days,Profit_Margin
ORD03483,C00294,2024-01-03 08:51:56,2024-01-07 08:51:56,Standard Class,Corporate,West,Technology,Phones,233.93,2,0.087,34.85,2024-01,2024,4.0,14.897618945838499
ORD03010,C00357,2024-01-03 22:12:47,2024-01-04 22:12:47,First Class,Consumer,North,Technology,Phones,260.7,2,0.226,2.15,2024-01,2024,1.0,0.8247027234369008
ORD00979,C00328,2024-01-04 03:26:13,2024-01-08 03:26:13,Standard Class,Home Office,South,Furniture,Chairs,1013.61,6,0.1,-1.92,2024-01,2024,4.0,-0.18942196702873884
ORD00634,C00103,2024-01-04 04:43:23,2024-01-07 04:43:23,Standard Class,Consumer,South,Furniture,Tables,735.31,7,0.189,-3.56,2024-01,2024,3.0,-0.4841495423698849
ORD02319,C00386,2024-01-04 06:50:31,2024-01-08 06:50:31,Standard Class,Home Office,South,Office Supplies,Storage,200.72,6,0.175,-12.53,2024-01,2024,4.0,-6.242526903148664
ORD00375,C00783,2024-01-04 08:55:16,2024-01-06 08:55:16,Same Day,Consumer,East,Technology,Accessories,272.91,2,0.1,52.8,2024-01,2024,2.0,19.347037484885124
ORD00761,C00550,2024-01-04 10:33:50,2024-01-08 10:33:50,Standard Class,Home Office,East,Office Supplies,Paper,62.88,1,0.019,11.85,2024-01,2024,4.0,18.845419847328245
ORD02155,C00480,2024-01-04 10:58:06,2024-01-09 10:58:06,Standard Class,Consumer,North,Office Supplies,Appliances,167.61,4,0.182,-3.97,2024-01,2024,5.0,-2.368593759322236
ORD00742,C00708,2024-01-04 11:04:09,2024-01-07 11:04:09,Second Class,Corporate,North,Furniture,Chairs,1063.12,7,0.176,21.36,2024-01,2024,3.0,2.0091805252464447
ORD00417,C00318,2024-01-04 13:40:58,2024-01-08 13:40:58,Second Class,Consumer,South,Office Supplies,Binders,83.04,7,0.101,5.64,2024-01,2024,4.0,6.791907514450866
ORD00068,C00291,2024-01-04 20:58:47,2024-01-06 20:58:47,Second Class,Consumer,East,Technology,Laptops,596.95,4,0.329,-66.69,2024-01,2024,2.0,-11.171789932155122
ORD00056,C00627,2024-01-04 21:39:11,2024-01-06 21:39:11,Second Class,Consumer,West,Office Supplies,Appliances,88.64,6,0.025,12.44,2024-01,2024,2.0,14.034296028880867
ORD02001,C00945,2024-01-04 23:07:50,2024-01-06 23:07:50,First Class,Corporate,South,Technology,Laptops,296.84,2,0.247,-2.18,2024-01,2024,2.0,-0.7344023716480259
ORD03131,C00532,2024-01-04 23:53:19,2024-01-08 23:53:19,Second Class,Corporate,East,Technology,Phones,123.09,1,0.178,4.41,2024-01,2024,4.0,3.5827443334145745
ORD01115,C00761,2024-01-04 23:53:36,2024-01-07 23:53:36,First Class,Consumer,North,Office Supplies,Appliances,229.36,5,0.103,21.47,2024-01,2024,3.0,9.360830136030692
ORD00040,C00871,2024-01-05 06:43:24,2024-01-09 06:43:24,Standard Class,Corporate,East,Furniture,Tables,472.73,5,0.138,-9.61,2024-01,2024,4.0,-2.0328728872718043
ORD01630,C00146,2024-01-05 17:10:40,2024-01-08 17:10:40,Standard Class,Consumer,West,Furniture,Furnishings,416.33,3,0.071,7.55,2024-01,2024,3.0,1.8134652799461966
ORD03758,C00843,2024-01-05 18:04:23,2024-01-10 18:04:23,Standard Class,Corporate,West,Office Supplies,Appliances,386.29,8,0.034,43.52,2024-01,2024,5.0,11.266147195112481
ORD01663,C00595,2024-01-06 03:58:11,2024-01-09 03:58:11,Standard Class,Consumer,North,Technology,Phones,840.6,6,0.11,4.285,2024-01,2024,3.0,0.5097549369497978
ORD00674,C00645,2024-01-06 08:08:57,2024-01-09 08:08:57,First Class,Consumer,South,Furniture,Tables,1109.88,7,0.134,-104.18,2024-01,2024,3.0,-9.386600353191335
ORD03791,C00280,2024-01-06 08:59:13,2024-01-09 08:59:13,Standard Class,Consumer,East,Office Supplies,Art,53.09,1,0.189,-1.03,2024-01,2024,3.0,-1.9401017140704464
ORD03320,C00750,2024-01-06 11:31:23,2024-01-09 11:31:23,Standard Class,Consumer,West,Office Supplies,Binders,90.7,3,0.053,13.41,2024-01,2024,3.0,14.785005512679161
ORD02566,C00632,2024-01-06 12:52:36,2024-01-08 12:52:36,Second Class,Consumer,North,Technology,Accessories,455.26,5,0.123,55.87,2024-01,2024,2.0,12.272108245837543
ORD03096,C00067,2024-01-06 17:35:44,2024-01-08 17:35:44,First Class,Consumer,North,Furniture,Tables,648.93,4,0.087,20.43,2024-01,2024,2.0,3.14825944246683
ORD01286,C00169,2024-01-06 19:28:01,2024-01-10 19:28:01,Standard Class,Consumer,North,Furniture,Bookcases,592.8,4,0.166,-41.36,2024-01,2024,4.0,-6.9770580296896085
ORD03777,C00561,2024-01-06 22:20:45,2024-01-10 22:20:45,Second Class,Corporate,East,Technology,Phones,480.63,5,0.127,88.72,2024-01,2024,4.0,18.459105757027235
ORD02673,C00588,2024-01-07 02:50:45,2024-01-09 02:50:45,Second Class,Consumer,South,Office Supplies,Storage,49.24,1,0.18,-0.72,2024-01,2024,2.0,-1.4622258326563768
ORD01132,C00743,2024-01-07 05:44:19,2024-01-10 05:44:19,Standard Class,Consumer,East,Technology,Accessories,207.37,2,0.242,-7.23,2024-01,2024,3.0,-3.4865216762308915
ORD02993,C00361,2024-01-07 06:21:05,2024-01-10 06:21:05,Second Class,Corporate,West,Office Supplies,Art,290.73,5,0.26,-24.71,2024-01,2024,3.0,-8.49929487840952
ORD01895,C00477,2024-01-07 10:31:54,2024-01-07 10:31:54,Same Day,Corporate,West,Furniture,Tables,314.41,3,0.111,-3.25,2024-01,2024,0.0,-1.0336821347921503
ORD00429,C00602,2024-01-07 18:13:52,2024-01-09 18:13:52,Second Class,Consumer,West,Office Supplies,Storage,292.34,5,0.251,-29.84,2024-01,2024,2.0,-10.207292878155574
ORD01989,C00352,2024-01-07 21:26:08,2024-01-12 21:26:08,Standard Class,Consumer,East,Technology,Laptops,481.9,3,0.068,63.82,2024-01,2024,5.0,13.24341149616103
ORD00106,C00130,2024-01-08 05:43:54,2024-01-11 05:43:54,Second Class,Consumer,East,Office Supplies,Art,318.34,5,0.084,4.285,2024-01,2024,3.0,1.3460451090029528
ORD01853,C00827,2024-01-08 09:00:16,2024-01-09 09:00:16,First Class,Corporate,South,Technology,Laptops,863.03,6,0.089,129.56,2024-01,2024,1.0,15.012224372269795
ORD01850,C00342,2024-01-08 10:33:53,2024-01-10 10:33:53,First Class,Home Office,North,Technology,Accessories,662.26,6,0.111,121.48,2024-01,2024,2.0,18.343248875064173
ORD01906,C00097,2024-01-08 19:56:54,2024-01-10 19:56:54,First Class,Corporate,South,Office Supplies,Paper,28.8,1,0.099,1.36,2024-01,2024,2.0,4.722222222222222
ORD02751,C00168,2024-01-09 01:00:43,2024-01-11 01:00:43,Same Day,Home Office,North,Office Supplies,Storage,58.18,1,0.406,-14.62,2024-01,2024,2.0,-25.1289102784462
ORD00913,C00335,2024-01-09 19:08:55,2024-01-14 19:08:55,Standard Class,Consumer,East,Furniture,Tables,634.18,3,0.114,7.84,2024-01,2024,5.0,1.2362420763820998
ORD03665,C00374,2024-01-09 19:50:44,2024-01-12 19:50:44,Standard Class,Consumer,East,Technology,Accessories,299.83,2,0.043,41.91,2024-01,2024,3.0,13.97792082179902
ORD00378,C00013,2024-01-09 22:35:57,2024-01-13 22:35:57,Standard Class,Consumer,North,Technology,Accessories,1227.05,8,0.124,55.06,2024-01,2024,4.0,4.4871847112994585
ORD02161,C00795,2024-01-09 23:32:34,2024-01-12 23:32:34,First Class,Consumer,West,Furniture,Chairs,979.49,4,0.333,-138.53,2024-01,2024,3.0,-14.143074457115437
ORD02452,C00122,2024-01-10 02:28:20,2024-01-13 02:28:20,Second Class,Home Office,East,Office Supplies,Paper,225.44,6,0.209,-17.14,2024-01,2024,3.0,-7.602909865152591
ORD03439,C00153,2024-01-11 01:22:45,2024-01-14 01:22:45,Standard Class,Home Office,West,Office Supplies,Appliances,257.69,4,0.015,52.38,2024-01,2024,3.0,20.326749194768908
ORD01794,C00667,2024-01-11 03:39:19,2024-01-16 03:39:19,Standard Class,Consumer,North,Technology,Accessories,399.75,4,0.104,45.28,2024-01,2024,5.0,11.3270794246404
ORD02289,C00119,2024-01-11 04:09:49,2024-01-11 04:09:49,Same Day,Corporate,South,Office Supplies,Art,152.94,3,0.173,-7.47,2024-01,2024,0.0,-4.884268340525696
ORD01371,C00219,2024-01-11 07:27:55,2024-01-13 07:27:55,Second Class,Consumer,South,Furniture,Furnishings,312.13,5,0.106,11.02,2024-01,2024,2.0,3.5305802069650465
ORD02385,C00947,2024-01-11 12:53:15,2024-01-16 12:53:15,Standard Class,Corporate,East,Furniture,Chairs,244.46,1,0.084,-6.54,2024-01,2024,5.0,-2.675284300089994
ORD01492,C00698,2024-01-11 15:18:42,2024-01-13 15:18:42,Second Class,Consumer,West,Office Supplies,Binders,128.92,2,0.179,6.28,2024-01,2024,2.0,4.871237977040026
ORD00343,C00249,2024-01-11 17:14:36,2024-01-14 17:14:36,Second Class,Consumer,South,Office Supplies,Paper,81.72,2,0.066,5.47,2024-01,2024,3.0,6.6935878609887425
ORD01859,C00551,2024-01-12 11:55:48,2024-01-16 11:55:48,Standard Class,Consumer,South,Office Supplies,Storage,138.9,4,0.079,2.81,2024-01,2024,4.0,2.023038156947444
ORD02044,C00575,2024-01-12 12:54:47,2024-01-14 12:54:47,Second Class,Consumer,North,Technology,Accessories,129.2,1,0.335,-12.99,2024-01,2024,2.0,-10.05417956656347
ORD02749,C00033,2024-01-12 20:21:27,2024-01-16 20:21:27,Standard Class,Consumer,West,Office Supplies,Art,197.45,3,0.09,19.36,2024-01,2024,4.0,9.805013927576601
ORD00035,C00029,2024-01-13 02:28:41,2024-01-17 02:28:41,Standard Class,Corporate,West,Office Supplies,Storage,296.74,5,0.086,0.27,2024-01,2024,4.0,0.0909887443553279
ORD03254,C00202,2024-01-13 06:53:43,2024-01-16 06:53:43,Standard Class,Corporate,South,Furniture,Bookcases,132.07,1,0.358,-33.96,2024-01,2024,3.0,-25.71363670780647
ORD02057,C00789,2024-01-13 15:09:29,2024-01-16 15:09:29,Second Class,Consumer,East,Furniture,Furnishings,214.34,2,0.18,-7.56,2024-01,2024,3.0,-3.5271064663618548
ORD00357,C00548,2024-01-13 15:30:07,2024-01-16 15:30:07,Standard Class,Consumer,North,Furniture,Bookcases,142.65,2,0.058,11.17,2024-01,2024,3.0,7.830354013319313
ORD02055,C00360,2024-01-13 21:33:25,2024-01-16 21:33:25,Standard Class,Corporate,South,Office Supplies,Binders,286.78,6,0.21,-15.33,2024-01,2024,3.0,-5.345561057256434
ORD02321,C00824,2024-01-14 00:30:01,2024-01-17 00:30:01,Second Class,Consumer,North,Furniture,Furnishings,835.84,4,0.155,14.19,2024-01,2024,3.0,1.6976933384379784
ORD03774,C00085,2024-01-14 00:55:26,2024-01-18 00:55:26,Second Class,Consumer,East,Technology,Accessories,734.27,6,0.138,68.38,2024-01,2024,4.0,9.312650659839024
ORD00968,C00930,2024-01-14 02:41:02,2024-01-17 02:41:02,Second Class,Consumer,North,Furniture,Chairs,331.54,2,0.373,-75.0,2024-01,2024,3.0,-22.62170477167159
ORD00847,C00250,2024-01-14 06:10:21,2024-01-18 06:10:21,Second Class,Corporate,East,Furniture,Chairs,210.32,1,0.117,-3.7,2024-01,2024,4.0,-1.7592240395587675
ORD00249,C00713,2024-01-14 11:01:49,2024-01-16 11:01:49,First Class,Consumer,West,Office Supplies,Binders,143.03,3,0.21,-10.8,2024-01,2024,2.0,-7.550863455219186
ORD02477,C00739,2024-01-14 14:14:40,2024-01-16 14:14:40,Second Class,Consumer,West,Office Supplies,Paper,559.69,8,0.023,103.17,2024-01,2024,2.0,18.43341849952652
ORD01062,C00047,2024-01-14 21:28:41,2024-01-18 21:28:41,Second Class,Corporate,West,Technology,Phones,609.92,4,0.036,109.08,2024-01,2024,4.0,17.884312696747116
ORD01494,C00905,2024-01-15 06:03:37,2024-01-18 06:03:37,Second Class,Corporate,South,Office Supplies,Binders,33.81,1,0.153,-0.54,2024-01,2024,3.0,-1.5971606033717833
ORD03585,C00239,2024-01-15 10:18:29,2024-01-19 10:18:29,Standard Class,Corporate,West,Technology,Accessories,257.13,2,0.199,30.67,2024-01,2024,4.0,11.927818613152882
ORD03463,C00334,2024-01-16 00:14:42,2024-01-20 00:14:42,Second Class,Consumer,West,Furniture,Bookcases,375.93,4,0.164,-14.29,2024-01,2024,4.0,-3.8012395924773226
ORD03616,C00545,2024-01-16 06:13:41,2024-01-19 06:13:41,Second Class,Consumer,South,Office Supplies,Storage,62.39,2,0.152,-0.92,2024-01,2024,3.0,-1.4745952877063633
ORD02007,C00430,2024-01-16 10:30:47,2024-01-19 10:30:47,Second Class,Corporate,East,Office Supplies,Appliances,102.91,3,0.22,-5.82,2024-01,2024,3.0,-5.65542707219901
ORD03372,C00243,2024-01-16 10:39:11,2024-01-21 10:39:11,Standard Class,Corporate,West,Furniture,Chairs,416.52,4,0.372,-66.8,2024-01,2024,5.0,-16.037645251128396
ORD03750,C00321,2024-01-16 18:38:37,2024-01-19 18:38:37,Standard Class,Consumer,East,Office Supplies,Appliances,234.07,6,0.064,17.77,2024-01,2024,3.0,7.591746058871278
ORD00521,C00732,2024-01-16 20:35:41,2024-01-19 20:35:41,Second Class,Consumer,East,Furniture,Bookcases,90.21,1,0.084,-1.77,2024-01,2024,3.0,-1.9620884602593949
ORD00673,C00640,2024-01-16 22:29:09,2024-01-18 22:29:09,Second Class,Home Office,East,Technology,Phones,125.26,1,0.147,11.36,2024-01,2024,2.0,9.06913619671084
ORD02505,C00854,2024-01-17 00:21:22,2024-01-22 00:21:22,Standard Class,Consumer,West,Technology,Laptops,878.0,7,0.244,75.33,2024-01,2024,5.0,8.579726651480637
ORD02810,C00581,2024-01-17 03:26:25,2024-01-22 03:26:25,Standard Class,Consumer,West,Office Supplies,Binders,336.52,5,0.113,27.22,2024-01,2024,5.0,8.088672292880068
ORD03434,C00080,2024-01-17 05:31:36,2024-01-21 05:31:36,Second Class,Home Office,West,Office Supplies,Binders,118.5,2,0.105,7.53,2024-01,2024,4.0,6.3544303797468356
ORD01512,C00867,2024-01-17 06:08:59,2024-01-19 06:08:59,Second Class,Consumer,North,Technology,Accessories,150.95,1,0.118,23.16,2024-01,2024,2.0,15.342828751242136
ORD02639,C00885,2024-01-17 13:54:55,2024-01-19 13:54:55,First Class,Consumer,West,Office Supplies,Appliances,234.06,5,0.027,43.64,2024-01,2024,2.0,18.644791933692215
ORD01158,C00636,2024-01-17 15:31:25,2024-01-21 15:31:25,Standard Class,Consumer,West,Furniture,Furnishings,892.75,4,0.159,60.68,2024-01,2024,4.0,6.796975637076449
ORD03117,C00424,2024-01-17 21:24:52,2024-01-22 21:24:52,Standard Class,Corporate,North,Furniture,Bookcases,873.61,4,0.274,-122.4,2024-01,2024,5.0,-14.01082863062465
ORD00270,C00633,2024-01-17 22:56:50,2024-01-21 22:56:50,Standard Class,Corporate,North,Furniture,Bookcases,739.93,4,0.167,-39.04,2024-01,2024,4.0,-5.276174773289365
ORD03102,C00202,2024-01-18 00:49:14,2024-01-21 00:49:14,Standard Class,Corporate,North,Office Supplies,Paper,342.92,5,0.476,-80.46,2024-01,2024,3.0,-23.463198413624166
ORD01145,C00291,2024-01-18 05:38:09,2024-01-21 05:38:09,Standard Class,Consumer,South,Furniture,Chairs,710.04,5,0.234,-50.75,2024-01,2024,3.0,-7.147484648752184
ORD01429,C00714,2024-01-18 06:40:20,2024-01-22 06:40:20,Standard Class,Corporate,West,Furniture,Chairs,704.69,3,0.098,6.89,2024-01,2024,4.0,0.9777348905192353
ORD01288,C00814,2024-01-18 06:59:10,2024-01-22 06:59:10,Standard Class,Home Office,East,Technology,Phones,956.18,7,0.154,-4.04,2024-01,2024,4.0,-0.42251458930326924
ORD03213,C00146,2024-01-18 08:24:30,2024-01-21 08:24:30,Second Class,Consumer,East,Office Supplies,Binders,270.56,6,0.397,-49.26,2024-01,2024,3.0,-18.20668243642815
ORD00382,C00155,2024-01-18 11:53:37,2024-01-21 11:53:37,First Class,Consumer,West,Office Supplies,Art,39.18,2,0.105,3.58,2024-01,2024,3.0,9.137314956610517
ORD00889,C00028,2024-01-18 11:57:38,2024-01-21 11:57:38,First Class,Home Office,North,Furniture,Furnishings,663.33,4,0.064,57.94,2024-01,2024,3.0,8.734717259885727
ORD00425,C00438,2024-01-18 20:22:43,2024-01-23 20:22:43,Standard Class,Home Office,East,Furniture,Tables,1278.99,6,0.375,-242.29,2024-01,2024,5.0,-18.943854134903322
ORD01222,C00005,2024-01-19 02:54:04,2024-01-22 02:54:04,Second Class,Consumer,East,Technology,Laptops,393.23,4,0.184,36.77,2024-01,2024,3.0,9.350761640770033
ORD00956,C00110,2024-01-19 03:32:17,2024-01-23 03:32:17,Second Class,Consumer,West,Office Supplies,Appliances,271.32,7,0.218,-11.83,2024-01,2024,4.0,-4.360165118679051
ORD02755,C00614,2024-01-19 06:10:58,2024-01-22 06:10:58,Standard Class,Consumer,West,Office Supplies,Storage,406.11,6,0.056,56.05,2024-01,2024,3.0,13.801679347959912
ORD03584,C00300,2024-01-19 07:46:30,2024-01-23 07:46:30,Second Class,Consumer,West,Office Supplies,Appliances,56.97,2,0.22,-1.28,2024-01,2024,4.0,-2.2467965595927684
ORD02361,C00330,2024-01-19 09:35:26,2024-01-23 09:35:26,Standard Class,Corporate,North,Office Supplies,Storage,65.16,1,0.091,7.82,2024-01,2024,4.0,12.001227747084101
ORD01944,C00583,2024-01-19 15:34:51,2024-01-21 15:34:51,Same Day,Corporate,North,Furniture,Bookcases,689.53,4,0.221,-45.13,2024-01,2024,2.0,-6.545037924383276
ORD01241,C00515,2024-01-20 05:36:58,2024-01-22 05:36:58,Second Class,Consumer,East,Furniture,Tables,1006.41,5,0.105,24.41,2024-01,2024,2.0,2.425452847249133
ORD02504,C00817,2024-01-20 06:34:20,2024-01-24 06:34:20,Standard Class,Corporate,East,Technology,Phones,1258.75,8,0.147,97.44,2024-01,2024,4.0,7.7410129096325715
ORD03255,C00622,2024-01-20 08:50:53,2024-01-24 08:50:53,Standard Class,Consumer,West,Office Supplies,Binders,297.01,5,0.002,46.69,2024-01,2024,4.0,15.720009427292009
ORD01228,C00806,2024-01-20 09:38:32,2024-01-23 09:38:32,Standard Class,Consumer,North,Technology,Phones,708.86,6,0.147,33.65,2024-01,2024,3.0,4.747058657562847
ORD02563,C00705,2024-01-20 16:44:36,2024-01-22 16:44:36,Same Day,Corporate,East,Office Supplies,Storage,340.29,6,0.141,49.65,2024-01,2024,2.0,14.590496341355902
ORD01301,C00419,2024-01-20 20:13:51,2024-01-24 20:13:51,Second Class,Corporate,North,Office Supplies,Binders,53.73,1,0.187,1.15,2024-01,2024,4.0,2.1403312860599293
ORD00058,C00425,2024-01-22 04:04:16,2024-01-26 04:04:16,Second Class,Corporate,North,Furniture,Bookcases,166.36,2,0.217,-27.87,2024-01,2024,4.0,-16.75282519836499
ORD02859,C00375,2024-01-22 08:25:21,2024-01-26 08:25:21,Standard Class,Consumer,East,Office Supplies,Binders,149.94,3,0.304,-13.33,2024-01,2024,4.0,-8.890222755768974
ORD02586,C00376,2024-01-22 14:43:10,2024-01-25 14:43:10,Second Class,Consumer,West,Office Supplies,Paper,234.42,8,0.028,27.5,2024-01,2024,3.0,11.731080965787903
ORD03757,C00674,2024-01-22 18:42:18,2024-01-25 18:42:18,Standard Class,Consumer,East,Office Supplies,Paper,244.99,4,0.269,-25.02,2024-01,2024,3.0,-10.212661741295562
ORD02066,C00808,2024-01-22 22:33:22,2024-01-27 22:33:22,Standard Class,Corporate,South,Office Supplies,Binders,347.57,8,0.083,36.26,2024-01,2024,5.0,10.432430877233363
ORD01125,C00255,2024-01-22 23:27:31,2024-01-26 23:27:31,Standard Class,Consumer,East,Office Supplies,Appliances,136.17,4,0.237,2.43,2024-01,2024,4.0,1.784534038334435
ORD02636,C00237,2024-01-23 00:25:35,2024-01-25 00:25:35,Second Class,Corporate,East,Office Supplies,Appliances,50.33,1,0.081,2.66,2024-01,2024,2.0,5.285118219749653
ORD01303,C00105,2024-01-23 11:55:42,2024-01-27 11:55:42,Second Class,Corporate,East,Office Supplies,Paper,85.56,4,0.218,-11.8,2024-01,2024,4.0,-13.791491351098644
ORD01532,C00378,2024-01-23 13:14:33,2024-01-27 13:14:33,Second Class,Consumer,West,Office Supplies,Art,418.56,6,0.192,-2.89,2024-01,2024,4.0,-0.6904625382262998
ORD02623,C00118,2024-01-23 16:02:49,2024-01-27 16:02:49,Second Class,Consumer,South,Office Supplies,Art,126.04,6,0.06,18.64,2024-01,2024,4.0,14.788955887019995
ORD01058,C00526,2024-01-23 16:20:21,2024-01-27 16:20:21,Standard Class,Consumer,North,Technology,Accessories,828.62,6,0.172,46.49,2024-01,2024,4.0,5.610533175641428
ORD01528,C00409,2024-01-23 20:05:13,2024-01-25 20:05:13,Second Class,Consumer,West,Office Supplies,Art,339.11,8,0.13,24.97,2024-01,2024,2.0,7.363392409542626
ORD01948,C00350,2024-01-23 23:28:18,2024-01-28 23:28:18,Standard Class,Consumer,East,Office Supplies,Storage,214.44,4,0.272,-36.68,2024-01,2024,5.0,-17.10501772057452
ORD01938,C00787,2024-01-24 04:41:18,2024-01-27 04:41:18,Standard Class,Home Office,West,Furniture,Bookcases,1340.31,8,0.051,83.39,2024-01,2024,3.0,6.221694981011856
ORD02966,C00517,2024-01-24 07:04:53,2024-01-27 07:04:53,Standard Class,Consumer,North,Office Supplies,Paper,234.97,5,0.206,-14.76,2024-01,2024,3.0,-6.281652976975784
ORD01356,C00449,2024-01-24 09:24:13,2024-01-29 09:24:13,Standard Class,Consumer,North,Furniture,Furnishings,289.56,2,0.185,-4.13,2024-01,2024,5.0,-1.4263019754109683
ORD01558,C00099,2024-01-24 11:15:07,2024-01-28 11:15:07,Standard Class,Consumer,West,Technology,Accessories,126.36,1,0.031,22.16,2024-01,2024,4.0,17.537195314973093
ORD00012,C00137,2024-01-24 14:13:31,2024-01-27 14:13:31,Standard Class,Corporate,West,Technology,Accessories,968.22,8,0.195,24.03,2024-01,2024,3.0,2.481873954266592
ORD03121,C00795,2024-01-24 15:16:24,2024-01-25 15:16:24,Same Day,Consumer,North,Office Supplies,Paper,92.18,3,0.07,7.83,2024-01,2024,1.0,8.494250379691906
ORD00136,C00423,2024-01-24 22:49:52,2024-01-27 22:49:52,Second Class,Corporate,East,Technology,Accessories,123.51,1,0.04,23.9,2024-01,2024,3.0,19.350659865597926
ORD03752,C00305,2024-01-25 07:59:23,2024-01-28 07:59:23,Standard Class,Home Office,North,Office Supplies,Art,184.83,4,0.08,13.5,2024-01,2024,3.0,7.304009089433533
ORD02364,C00211,2024-01-25 22:49:23,2024-01-28 22:49:23,Standard Class,Consumer,North,Office Supplies,Paper,105.3,4,0.303,-13.43,2024-01,2024,3.0,-12.754036087369421
ORD01134,C00859,2024-01-26 07:49:14,2024-01-29 07:49:14,First Class,Home Office,East,Furniture,Bookcases,674.4,3,0.081,37.33,2024-01,2024,3.0,5.535290628706998
ORD02247,C00571,2024-01-26 10:22:04,2024-01-27 10:22:04,First Class,Consumer,West,Technology,Accessories,1008.6,6,0.042,198.57,2024-01,2024,1.0,19.687685901249257
ORD03816,C00341,2024-01-26 15:14:47,2024-01-30 15:14:47,Second Class,Consumer,North,Technology,Laptops,451.72,3,0.095,87.51,2024-01,2024,4.0,19.372620207208005
ORD00175,C00511,2024-01-26 15:46:42,2024-01-30 15:46:42,Standard Class,Corporate,South,Furniture,Furnishings,730.42,4,0.149,-44.41,2024-01,2024,4.0,-6.0800635250951505
ORD01469,C00617,2024-01-26 16:10:30,2024-01-29 16:10:30,Standard Class,Corporate,North,Office Supplies,Appliances,174.41,3,0.134,16.11,2024-01,2024,3.0,9.236855684880455
ORD03094,C00824,2024-01-26 16:16:59,2024-01-29 16:16:59,Standard Class,Consumer,North,Office Supplies,Binders,340.08,6,0.077,40.32,2024-01,2024,3.0,11.856033874382499
ORD00354,C00399,2024-01-26 18:07:36,2024-01-30 18:07:36,Standard Class,Consumer,West,Furniture,Tables,638.67,5,0.126,-18.72,2024-01,2024,4.0,-2.931091173845648
ORD01782,C00354,2024-01-27 03:57:54,2024-01-30 03:57:54,Standard Class,Corporate,South,Office Supplies,Storage,60.19,1,0.064,5.36,2024-01,2024,3.0,8.905133743146703
ORD03603,C00807,2024-01-27 04:56:54,2024-01-31 04:56:54,Standard Class,Consumer,North,Furniture,Furnishings,374.54,2,0.152,2.9,2024-01,2024,4.0,0.7742831206279702
ORD01173,C00584,2024-01-27 07:46:05,2024-01-31 07:46:05,Standard Class,Home Office,West,Office Supplies,Storage,61.3,1,0.096,5.65,2024-01,2024,4.0,9.216965742251224
ORD00214,C00096,2024-01-27 09:34:14,2024-01-30 09:34:14,Standard Class,Home Office,North,Office Supplies,Paper,82.64,5,0.036,7.88,2024-01,2024,3.0,9.535333978702807
ORD00241,C00435,2024-01-27 11:56:29,2024-01-28 11:56:29,First Class,Home Office,North,Office Supplies,Storage,245.96,8,0.179,7.25,2024-01,2024,1.0,2.94763376158725
