Order_ID,Customer_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD03784,C00942,2024-02-16 14:04:41,2024-02-19 14:04:41,First Class,Corporate,North,Office Supplies,Appliances,63.23,2,0.023,5.25
ORD00311,C00635,2025-09-18 13:15:48,2025-09-22 13:15:48,Standard Class,Corporate,South,Technology,Accessories,969.32,8,0.084,127.97
ORD01581,C00760,2025-08-27 04:05:53,2025-08-30 04:05:53,Standard Class,Consumer,West,Furniture,Chairs,1701.88,8,0.126,-28.31
ORD00018,C00339,2024-07-21 00:49:47,2024-07-23 00:49:47,First Class,Consumer,East,Office Supplies,Appliances,53.92,1,0.103,2.95
ORD01096,C00238,2025-04-06 02:45:36,2025-04-08 02:45:36,Second Class,Corporate,East,Technology,Laptops,1303.99,6,0.18,25.92
ORD00194,C00410,2024-04-30 14:48:48,2024-05-05 14:48:48,Standard Class,Corporate,South,Office Supplies,Appliances,280.83,5,0.081,12.67
ORD01659,C00904,2025-07-07 09:41:49,2025-07-08 09:41:49,First Class,Corporate,South,Office Supplies,Binders,107.71,2,0.089,10.16
ORD01339,C00564,2025-05-26 09:09:44,2025-05-31 09:09:44,Standard Class,Corporate,North,Furniture,Tables,1227.61,7,0.184,-69.26
ORD00204,C00801,2024-09-15 19:17:41,2024-09-18 19:17:41,Standard Class,Corporate,East,Office Supplies,Storage,150.66,7,0.274,-2.85
ORD01486,C00898,2024-02-19 13:57:30,2024-02-22 13:57:30,Standard Class,Consumer,North,Furniture,Tables,1340.91,7,0.141,-86.97
ORD01779,C00925,2025-12-09 14:37:45,2025-12-11 14:37:45,Second Class,Corporate,North,Office Supplies,Appliances,106.55,5,0.084,15.19
ORD00088,C00892,2024-11-21 08:26:41,2024-11-24 08:26:41,Standard Class,Consumer,East,Office Supplies,Binders,88.48,6,0.192,-3.33
ORD03590,C00383,2025-10-13 23:28:55,2025-10-16 23:28:55,First Class,Consumer,West,Office Supplies,Binders,168.05,6,0.135,7.15
ORD01213,C00901,2025-05-09 21:08:27,2025-05-12 21:08:27,Standard Class,Corporate,East,Furniture,Chairs,1084.15,7,0.16,-16.03
ORD00784,C00634,2025-07-22 05:16:43,2025-07-22 05:16:43,Same Day,Consumer,South,Furniture,Furnishings,881.02,5,0.13,18.44
ORD00214,C00860,2025-07-08 17:26:17,2025-07-11 17:26:17,Standard Class,Consumer,East,Furniture,Chairs,813.24,6,0.135,27.28
ORD00348,C00363,2024-05-22 02:04:12,2024-05-27 02:04:12,Standard Class,Home Office,South,Furniture,Bookcases,59.66,1,0.263,-5.81
ORD02693,C00009,2024-09-22 15:38:01,2024-09-27 15:38:01,Standard Class,Corporate,South,Office Supplies,Binders,238.27,5,0.146,0.25
ORD00063,C00420,2024-12-06 16:57:07,2024-12-09 16:57:07,Standard Class,Consumer,East,Technology,Accessories,278.3,2,0.041,69.94
ORD00364,C00285,2024-12-29 09:18:28,2025-01-02 09:18:28,Standard Class,Home Office,South,Furniture,Bookcases,372.5,4,0.295,-54.43
ORD02512,C00637,2024-02-01 23:26:31,2024-02-03 23:26:31,First Class,Consumer,East,Technology,Phones,870.57,7,0.145,-48.98
ORD01342,C00588,2025-02-02 23:53:51,2025-02-03 23:53:51,First Class,Corporate,West,Technology,Phones,121.29,1,0.066,19.42
ORD02984,C00394,2024-04-22 15:09:06,2024-04-26 15:09:06,Second Class,Consumer,West,Office Supplies,Storage,541.5,7,0.092,37.16
ORD02729,C00635,2025-06-26 15:56:45,2025-06-29 15:56:45,Standard Class,Consumer,North,Office Supplies,Binders,68.86,3,0.213,-2.96
ORD02618,C00398,2025-05-13 15:01:03,2025-05-14 15:01:03,First Class,Consumer,South,Office Supplies,Storage,428.7,7,0.083,41.47
ORD00263,C00700,2025-11-04 10:41:15,2025-11-09 10:41:15,Standard Class,Consumer,North,Technology,Accessories,706.0,7,0.122,82.65
ORD02499,C00515,2025-06-27 16:13:58,2025-06-30 16:13:58,Second Class,Consumer,South,Technology,Phones,146.25,1,0.218,-4.83
ORD03512,C00268,2024-09-24 15:34:45,2024-09-28 15:34:45,Second Class,Consumer,South,Technology,Phones,158.9,2,0.157,18.98
ORD03185,C00102,2025-12-07 06:46:13,2025-12-12 06:46:13,Standard Class,Corporate,North,Office Supplies,Storage,243.5,7,0.128,-2.28
ORD03657,C00096,2024-10-26 22:05:53,2024-10-29 22:05:53,Standard Class,Consumer,West,Technology,Laptops,370.67,3,0.058,38.82
ORD03328,C00936,2024-08-25 20:27:36,2024-08-26 20:27:36,First Class,Consumer,East,Office Supplies,Binders,116.44,4,0.16,-4.02
ORD03581,C00747,2025-10-23 00:59:11,2025-10-26 00:59:11,Standard Class,Home Office,West,Technology,Accessories,168.48,1,0.145,18.08
ORD01311,C00785,2024-09-27 10:27:14,2024-09-30 10:27:14,Second Class,Corporate,North,Office Supplies,Appliances,262.52,6,0.02,42.47
ORD00996,C00606,2024-02-25 17:31:57,2024-02-27 17:31:57,Same Day,Home Office,North,Office Supplies,Paper,25.63,1,0.17,-0.68
ORD02260,C00458,2024-12-08 18:37:04,2024-12-13 18:37:04,Standard Class,Consumer,South,Office Supplies,Paper,143.74,3,0.289,-20.63
ORD00741,C00785,2025-08-03 20:18:47,2025-08-07 20:18:47,Standard Class,Consumer,North,Furniture,Bookcases,317.78,4,0.315,
ORD02566,C00718,2024-05-18 07:32:17,2024-05-21 07:32:17,Standard Class,Corporate,South,Technology,Accessories,1196.04,7,0.144,18.97
ORD03861,C00244,2024-12-03 22:43:07,2024-12-06 22:43:07,First Class,Corporate,West,Office Supplies,Paper,155.39,4,0.094,18.55
ORD01332,C00947,2024-04-04 20:13:29,2024-04-07 20:13:29,Standard Class,Consumer,North,Office Supplies,Art,177.58,8,0.223,5.8
ORD01339,C00109,2025-05-16 03:05:53,2025-05-20 03:05:53,Standard Class,Home Office,North,Technology,Phones,632.09,5,0.114,64.67
ORD02481,C00491,2024-12-13 06:21:01,2024-12-16 06:21:01,Standard Class,Corporate,East,Furniture,Bookcases,288.88,3,0.123,3.88
ORD02377,C00107,2024-08-29 01:02:23,2024-08-31 01:02:23,Same Day,Corporate,East,Furniture,Tables,435.99,2,,-92.48
ORD02572,C00687,2024-06-14 15:27:06,2024-06-17 15:27:06,First Class,Consumer,East,Office Supplies,Appliances,218.92,7,0.028,42.68
ORD01568,C00363,2025-02-16 02:02:17,2025-02-20 02:02:17,Second Class,Corporate,South,Furniture,Bookcases,330.44,4,0.318,-35.06
ORD00001,C00081,2025-05-03 23:08:28,2025-05-05 23:08:28,Same Day,Consumer,West,Office Supplies,Appliances,364.89,5,0.091,25.66
ORD00930,C00761,2025-11-17 10:09:46,2025-11-19 10:09:46,Second Class,Home Office,North,Office Supplies,Binders,58.94,3,0.178,0.25
ORD00332,C00908,2024-11-15 02:54:05,2024-11-15 02:54:05,Same Day,Consumer,South,Technology,Phones,249.13,3,0.146,24.91
ORD00644,C00333,2024-04-27 07:15:23,2024-05-01 07:15:23,Standard Class,Consumer,East,Technology,Laptops,847.25,5,0.198,38.36
ORD02866,C00158,2025-08-30 20:31:19,2025-09-03 20:31:19,Standard Class,Consumer,West,Technology,Accessories,311.53,3,0.123,20.81
ORD00407,C00290,2025-04-04 17:28:14,2025-04-07 17:28:14,First Class,Corporate,South,Office Supplies,Appliances,464.63,8,0.131,-25.99
ORD00295,C00761,2025-05-26 04:38:40,2025-05-29 04:38:40,Standard Class,Home Office,East,Office Supplies,Art,298.23,6,0.153,-1.85
ORD00786,C00812,2024-03-11 23:24:38,2024-03-15 23:24:38,Standard Class,Home Office,North,Technology,Accessories,820.65,7,0.177,56.34
ORD01980,C00463,2024-08-16 00:39:48,2024-08-20 00:39:48,Second Class,Corporate,North,Office Supplies,Binders,105.33,3,0.088,6.99
ORD00131,C00518,2025-07-14 12:37:31,2025-07-16 12:37:31,Second Class,Home Office,North,Technology,Phones,101.17,1,0.09,8.6
ORD00174,C00612,2025-08-30 13:11:30,2025-09-04 13:11:30,Standard Class,Corporate,East,Office Supplies,Art,38.03,1,0.232,-2.9
ORD03502,C00348,2024-11-13 16:59:45,2024-11-16 16:59:45,Standard Class,Consumer,South,Technology,Phones,810.41,7,0.11,142.84
ORD03230,C00566,2025-08-10 11:28:17,2025-08-14 11:28:17,Standard Class,Corporate,East,Office Supplies,Binders,355.69,7,0.111,2.79
ORD00851,C00057,2025-09-06 10:26:29,2025-09-09 10:26:29,Standard Class,Consumer,North,Office Supplies,Paper,184.97,6,0.2,-5.79
ORD02163,C00395,2024-10-09 20:37:16,2024-10-12 20:37:16,Standard Class,Consumer,West,Office Supplies,Appliances,253.85,5,0.199,-8.55
ORD02981,C00690,2025-10-17 14:29:42,2025-10-20 14:29:42,Standard Class,Consumer,West,Technology,Accessories,196.99,2,0.256,15.01
ORD00795,C00904,2024-07-29 11:30:30,2024-08-01 11:30:30,Second Class,Consumer,North,Office Supplies,Art,423.81,7,0.076,11.92
ORD02112,C00850,2024-06-23 21:03:08,2024-06-27 21:03:08,Standard Class,Home Office,North,Furniture,Bookcases,475.93,5,0.174,-37.48
ORD03364,C00295,2025-05-13 05:19:16,2025-05-17 05:19:16,Standard Class,Home Office,North,Technology,Accessories,791.47,5,0.159,58.13
ORD00217,C00197,2025-04-09 20:04:01,2025-04-13 20:04:01,Second Class,Consumer,West,Office Supplies,Paper,46.55,1,0.217,-0.9
ORD00468,C00220,2024-04-12 00:27:48,2024-04-16 00:27:48,Standard Class,Corporate,North,Technology,Accessories,587.35,5,0.042,132.65
ORD03272,C00207,2025-08-30 21:32:52,2025-09-04 21:32:52,Standard Class,Consumer,East,Technology,Accessories,761.47,6,0.037,168.31
ORD03539,C00849,2024-05-25 22:23:30,2024-05-28 22:23:30,Standard Class,Consumer,South,Office Supplies,Appliances,417.3,7,0.062,23.19
ORD02606,C00029,2025-08-10 13:49:56,2025-08-14 13:49:56,Second Class,Consumer,West,Technology,Laptops,337.04,2,0.194,19.63
ORD03791,C00280,2024-01-06 08:59:13,2024-01-09 08:59:13,Standard Class,Consumer,East,Office Supplies,Art,53.09,1,0.189,-1.03
ORD02898,C00608,2025-08-04 16:40:55,2025-08-09 16:40:55,Standard Class,Consumer,East,Furniture,Furnishings,961.74,7,0.174,-66.04
ORD02565,C00103,2025-07-28 10:54:54,2025-07-30 10:54:54,Second Class,Consumer,West,Technology,Laptops,469.45,3,0.032,110.52
ORD00093,C00365,2025-07-23 15:58:58,2025-07-25 15:58:58,First Class,Consumer,North,Technology,Laptops,428.46,4,0.327,-29.77
ORD03269,C00149,2025-04-30 08:11:13,2025-05-04 08:11:13,Second Class,Consumer,West,Furniture,Furnishings,1452.07,6,0.185,34.8
ORD01250,C00273,2024-12-10 05:51:22,2024-12-13 05:51:22,First Class,Home Office,North,Office Supplies,Binders,95.33,4,0.128,6.59
ORD03212,C00339,2025-05-29 18:29:50,2025-06-01 18:29:50,Second Class,Consumer,South,Furniture,Chairs,1703.67,8,0.252,-156.37
ORD00016,C00633,2024-07-21 07:10:15,2024-07-26 07:10:15,Standard Class,Consumer,West,Office Supplies,Storage,415.57,7,0.118,-24.78
ORD01769,C00834,2025-07-23 22:22:21,2025-07-26 22:22:21,Standard Class,Consumer,East,Office Supplies,Binders,138.72,4,0.08,12.48
ORD02424,C00935,2025-02-09 14:56:05,2025-02-12 14:56:05,Standard Class,Consumer,East,Furniture,Tables,386.93,2,0.1,14.75
ORD00477,C00630,2024-12-01 00:12:15,2024-12-06 00:12:15,Standard Class,Consumer,South,Technology,Phones,857.63,8,0.221,15.4
ORD01436,C00700,2025-01-04 02:13:17,2025-01-08 02:13:17,Standard Class,Consumer,South,Furniture,Furnishings,455.71,6,0.188,-2.82
ORD00325,C00121,2025-02-19 04:20:44,2025-02-24 04:20:44,Standard Class,Corporate,South,Office Supplies,Art,169.28,7,0.2,-1.52
ORD01822,C00599,2024-01-28 04:50:08,2024-01-31 04:50:08,Second Class,Corporate,East,Furniture,Chairs,441.76,4,0.24,-71.45
ORD00405,C00508,2024-04-12 01:14:36,2024-04-16 01:14:36,Second Class,Corporate,South,Technology,Accessories,469.01,4,0.224,7.38
ORD00953,C00928,2024-06-28 04:49:48,2024-07-01 04:49:48,Standard Class,Corporate,South,Office Supplies,Art,85.35,2,0.282,-6.16
ORD02001,C00592,2024-03-24 14:34:00,2024-03-28 14:34:00,Standard Class,Consumer,South,Technology,Phones,669.0,4,0.176,5.16
ORD01765,C00757,2024-11-16 22:01:47,2024-11-19 22:01:47,Standard Class,Consumer,North,Furniture,Furnishings,605.76,5,0.212,-58.23
ORD00139,C00767,2025-05-02 22:25:11,2025-05-06 22:25:11,Standard Class,Consumer,South,Technology,Laptops,332.79,2,0.305,-15.05
ORD03159,C00114,2025-04-22 17:35:37,2025-04-25 17:35:37,Standard Class,Consumer,North,Technology,Laptops,1095.8,6,0.078,157.61
ORD01872,C00535,2024-12-09 21:36:19,2024-12-13 21:36:19,Standard Class,Consumer,West,Furniture,Chairs,441.33,5,0.089,38.76
ORD01159,C00848,2025-09-16 05:00:06,2025-09-21 05:00:06,Standard Class,Consumer,East,Office Supplies,Storage,244.38,7,0.22,-7.66
ORD01119,C00326,2025-02-16 14:56:11,2025-02-16 14:56:11,Same Day,Corporate,North,Office Supplies,Art,61.12,1,0.205,-7.3
ORD00392,C00748,2024-02-27 19:32:18,2024-03-03 19:32:18,Standard Class,Consumer,East,Technology,Accessories,253.83,2,0.026,47.81
ORD03400,C00946,2025-07-12 10:46:47,2025-07-16 10:46:47,Second Class,Consumer,West,Office Supplies,Storage,148.93,4,0.107,8.06
ORD02965,C00927,2025-02-23 11:00:10,2025-02-26 11:00:10,Standard Class,Corporate,North,Technology,Phones,1307.93,8,0.13,162.62
ORD00353,C00247,2025-04-08 08:15:53,2025-04-12 08:15:53,Standard Class,Consumer,North,Office Supplies,Storage,123.85,2,0.226,-2.54
ORD03430,C00311,2025-02-16 17:20:26,2025-02-21 17:20:26,Standard Class,Corporate,North,Office Supplies,Art,469.75,8,0.163,-11.76
ORD02652,C00916,2025-02-08 02:42:39,2025-02-09 02:42:39,Same Day,Home Office,North,Office Supplies,Binders,529.95,8,0.063,61.3
ORD02684,C00376,2024-03-07 02:43:25,2024-03-10 02:43:25,Standard Class,Home Office,West,Technology,Laptops,128.36,1,0.256,1.65
ORD00317,C00199,2025-02-12 05:18:34,2025-02-17 05:18:34,Standard Class,Consumer,West,Technology,Laptops,504.5,3,0.229,16.69
ORD01102,C00584,2025-08-03 06:52:08,2025-08-03 06:52:08,Same Day,Consumer,North,Office Supplies,Binders,147.35,3,0.046,24.47
ORD02058,C00492,2024-08-09 21:12:20,2024-08-13 21:12:20,Standard Class,Corporate,East,Technology,Laptops,416.5,4,0.338,-58.87
ORD02625,C00001,2025-03-16 01:43:33,2025-03-21 01:43:33,Standard Class,Corporate,North,Technology,Accessories,879.27,8,0.173,45.21
ORD01303,C00105,2024-01-23 11:55:42,2024-01-27 11:55:42,Second Class,Corporate,East,Office Supplies,Paper,85.56,4,0.218,-11.8
ORD03124,C00591,2024-09-10 16:11:09,2024-09-15 16:11:09,Standard Class,Consumer,East,Office Supplies,Storage,274.94,6,0.157,19.54
ORD02142,C00848,2024-11-14 19:17:19,2024-11-14 19:17:19,Same Day,Consumer,South,Office Supplies,Storage,79.25,2,0.184,-1.29
ORD03277,C00618,2025-12-18 09:34:35,2025-12-21 09:34:35,Standard Class,Consumer,North,Office Supplies,Paper,286.48,5,0.185,-1.84
ORD00286,C00465,2024-06-05 15:31:24,2024-06-09 15:31:24,Second Class,Consumer,East,Furniture,Bookcases,417.7,3,0.239,-46.32
ORD01125,C00948,2024-07-20 21:07:36,2024-07-23 21:07:36,Standard Class,Consumer,West,Office Supplies,Art,412.69,8,0.243,-11.09
ORD01951,C00839,2024-10-25 05:25:18,2024-10-28 05:25:18,First Class,Home Office,North,Furniture,Tables,398.18,7,0.208,-10.2
ORD03064,C00358,2025-12-25 15:30:05,2025-12-26 15:30:05,First Class,Consumer,North,Office Supplies,Storage,122.33,2,0.143,2.79
ORD01984,C00783,2025-09-14 23:37:18,2025-09-16 23:37:18,First Class,Corporate,North,Technology,Accessories,577.65,5,0.089,88.64
ORD01134,C00859,2024-01-26 07:49:14,2024-01-29 07:49:14,First Class,Home Office,East,Furniture,Bookcases,674.4,3,0.081,37.33
ORD03290,C00181,2024-06-19 18:37:11,2024-06-22 18:37:11,Second Class,Consumer,East,Furniture,Tables,500.1,4,0.253,-108.47
ORD00139,C00593,2025-08-22 19:44:10,2025-08-27 19:44:10,Standard Class,Consumer,West,Office Supplies,Appliances,66.33,4,0.197,-2.59
ORD00219,C00056,2024-02-12 13:27:50,2024-02-15 13:27:50,Standard Class,Corporate,East,Technology,Laptops,770.28,7,0.247,5.71
ORD01392,C00531,2025-09-16 15:21:12,2025-09-20 15:21:12,Standard Class,Consumer,West,Technology,Accessories,504.81,3,0.298,3.87
ORD00481,C00870,2024-07-24 09:50:44,2024-07-29 09:50:44,Standard Class,Consumer,West,Office Supplies,Art,19.97,1,0.096,2.89
ORD01204,C00853,2025-10-31 21:15:55,2025-11-03 21:15:55,Standard Class,Corporate,North,Office Supplies,Appliances,98.86,2,0.029,8.26
ORD03822,C00534,2024-08-02 07:45:45,2024-08-04 07:45:45,Second Class,Corporate,East,Office Supplies,Binders,167.94,7,0.094,20.29
ORD01651,C00558,2024-11-13 01:13:49,2024-11-15 01:13:49,Second Class,Corporate,South,Office Supplies,Storage,113.88,3,0.1,11.59
ORD01900,C00810,2025-04-28 04:46:38,2025-04-30 04:46:38,Same Day,Home Office,South,Office Supplies,Art,26.16,1,0.308,-2.97
ORD01556,C00004,2024-04-02 04:26:18,2024-04-05 04:26:18,Standard Class,Consumer,West,Technology,Phones,457.21,4,0.122,8.69
ORD02770,C00655,2025-02-10 15:12:11,2025-02-13 15:12:11,Second Class,Corporate,East,Technology,Accessories,1003.13,7,0.421,-193.63
ORD01509,C00300,2025-01-03 15:52:17,2025-01-05 15:52:17,Second Class,Corporate,West,Technology,Laptops,992.76,7,0.154,85.71
ORD01138,C00731,2025-07-26 05:53:47,2025-07-28 05:53:47,Same Day,Corporate,South,Furniture,Furnishings,1046.11,8,0.254,-151.25
ORD00061,C00111,2025-12-28 03:47:34,2025-12-31 03:47:34,Second Class,Corporate,East,Office Supplies,Appliances,296.09,6,0.218,-39.56
ORD02457,C00459,2025-04-29 22:46:23,2025-05-03 22:46:23,Standard Class,Corporate,East,Furniture,Bookcases,987.18,7,0.058,45.16
ORD03107,C00721,2024-10-25 16:56:47,2024-10-29 16:56:47,Standard Class,Home Office,North,Office Supplies,Binders,243.35,7,0.005,28.96
ORD01651,C00696,2024-10-23 15:53:52,2024-10-24 15:53:52,Same Day,Consumer,North,Furniture,Chairs,160.69,1,0.107,7.31
ORD01227,C00701,2024-11-01 02:38:13,2024-11-03 02:38:13,Second Class,Corporate,East,Office Supplies,Appliances,58.4,4,,1.43
ORD03244,C00872,2025-08-17 05:38:13,2025-08-18 05:38:13,First Class,Consumer,North,Furniture,Bookcases,567.73,5,0.155,-0.46
ORD03701,C00344,2024-08-22 11:41:58,2024-08-24 11:41:58,Second Class,Corporate,West,Furniture,Chairs,322.6,4,0.126,-3.28
ORD01693,C00674,2024-05-01 21:21:55,2024-05-05 21:21:55,Second Class,Corporate,North,Office Supplies,Binders,78.35,7,0.235,-3.59
ORD00798,C00771,2024-09-01 00:47:09,2024-09-03 00:47:09,Second Class,Corporate,North,Technology,Phones,670.3,8,0.086,89.88
ORD02639,C00885,2024-01-17 13:54:55,2024-01-19 13:54:55,First Class,Consumer,West,Office Supplies,Appliances,234.06,5,0.027,43.64
ORD02427,C00210,2024-03-18 11:37:04,2024-03-21 11:37:04,First Class,Consumer,North,Technology,Laptops,111.14,1,0.106,10.6
ORD01296,C00230,2024-03-06 17:38:18,2024-03-10 17:38:18,Standard Class,Consumer,West,Technology,Laptops,544.63,3,0.061,71.16
ORD03156,C00415,2025-07-17 05:35:53,2025-07-22 05:35:53,Standard Class,Consumer,East,Office Supplies,Binders,112.98,2,0.154,7.33
ORD00799,C00762,2025-06-11 07:44:08,2025-06-14 07:44:08,Standard Class,Consumer,North,Furniture,Bookcases,254.51,4,0.103,15.11
ORD00186,C00835,2025-05-23 15:25:27,2025-05-27 15:25:27,Standard Class,Home Office,East,Technology,Laptops,318.72,2,0.258,-0.47
ORD00850,C00503,2024-12-03 04:05:20,2024-12-06 04:05:20,First Class,Consumer,East,Technology,Accessories,104.76,1,0.224,8.37
ORD02900,C00690,2025-06-07 10:51:54,2025-06-08 10:51:54,First Class,Home Office,East,Furniture,Furnishings,179.04,2,0.102,20.14
ORD02207,C00058,2024-04-27 17:28:53,2024-05-01 17:28:53,Standard Class,Consumer,West,Technology,Accessories,889.58,4,0.038,214.19
ORD02676,C00716,2025-10-19 10:53:30,2025-10-24 10:53:30,Standard Class,Corporate,East,Technology,Phones,233.8,2,0.16,7.55
ORD01915,C00613,2024-12-31 18:18:16,2025-01-04 18:18:16,Standard Class,Corporate,East,Office Supplies,Storage,13.64,1,0.047,2.12
ORD00452,C00314,2025-11-15 18:39:37,2025-11-18 18:39:37,First Class,Corporate,South,Furniture,Tables,562.28,3,0.209,-49.7
ORD02739,C00596,2024-04-21 04:30:28,2024-04-24 04:30:28,Second Class,Corporate,East,Office Supplies,Binders,427.46,6,0.033,45.03
ORD02604,C00900,2024-12-29 01:13:22,2025-01-01 01:13:22,Standard Class,Corporate,West,Office Supplies,Storage,268.27,6,0.174,-5.33
ORD03308,C00941,2025-05-23 07:31:58,2025-05-27 07:31:58,Standard Class,Home Office,East,Office Supplies,Appliances,220.26,4,0.264,-14.46
ORD00489,C00610,2024-12-27 19:21:54,2024-12-30 19:21:54,Second Class,Corporate,East,Technology,Phones,1060.76,6,0.122,144.88
ORD00144,C00617,2024-11-21 16:39:28,2024-11-26 16:39:28,Standard Class,Consumer,South,Furniture,Tables,335.17,2,0.116,17.8
ORD01179,C00623,2024-05-01 08:04:15,2024-05-04 08:04:15,First Class,Consumer,East,Furniture,Bookcases,1059.36,6,0.077,75.2
ORD03116,C00125,2024-10-05 03:29:30,2024-10-07 03:29:30,First Class,Corporate,West,Office Supplies,Paper,54.32,1,0.17,2.33
ORD00399,C00329,2024-06-23 07:11:05,2024-06-28 07:11:05,Standard Class,Consumer,North,Technology,Phones,296.26,2,0.022,55.13
ORD03354,C00941,2024-08-08 02:29:30,2024-08-13 02:29:30,Standard Class,Consumer,North,Technology,Phones,791.99,8,0.093,111.95
